LOT,SPC_OPERATION,LOT_DATA_COLLECT_DATE,CHART_VALUE,CHART_WAFER,INCONTROL_FLAG,CHART_PT_STATUS,CHART_TYPE,SPC_CHART_SUBSET,CHART_TEST_NAME
W4238540,187622,2025-01-27 09:43:42,-155.78227600000000,,Y,V,X-BAR,ALL MEASUREMENTS,257CPROBOW
W4238540,187622,2025-01-27 09:43:42,-155.78227600000000,,Y,V,X-BAR,TOOL_DATA=BOW,257CPROBOW
W4238540,187622,2025-01-27 09:43:42,-190.41910000000000,,Y,V,MIN,TOOL_DATA=BOW,257CPROBOW
W4238540,187622,2025-01-27 09:43:42,-114.81700000000000,,Y,V,MAX,TOOL_DATA=BOW,257CPROBOW
W4238540,187622,2025-01-27 09:43:42,-155.78227600000000,,Y,V,X-BAR,TOOL_DATA=BOW,257CPROBOW
W4238540,187622,2025-01-27 09:43:42,-190.41910000000000,,Y,V,MIN,TOOL_DATA=BOW,257CPROBOW
W4238540,187622,2025-01-27 09:43:42,-114.81700000000000,,Y,V,MAX,TOOL_DATA=BOW,257CPROBOW
W4238540,187622,2025-01-27 09:43:44,-162.75344000000000,,Y,V,X-BAR,ALL MEASUREMENTS,257PDCPC
W4238540,187622,2025-01-27 09:43:44,-119.23900000000000,,Y,V,MAX,ALL MEASUREMENTS,257PDCPC
W4238540,187622,2025-01-27 09:43:44,-195.85100000000000,,Y,V,MIN,ALL MEASUREMENTS,257PDCPC
W4238540,187622,2025-01-27 09:43:44,-162.75344000000000,,Y,V,X-BAR,TOOL_DATA=BWCALC,257PDCPC
W4238540,187622,2025-01-27 09:43:44,-119.23900000000000,,Y,V,MAX,TOOL_DATA=BWCALC,257PDCPC
W4238540,187622,2025-01-27 09:43:44,-195.85100000000000,,Y,V,MIN,TOOL_DATA=BWCALC,257PDCPC
W4238540,187622,2025-01-27 09:43:44,-162.75344000000000,,Y,V,X-BAR,TOOL_DATA=BWCALC,257PDCPC
W4238540,187622,2025-01-27 09:43:44,-119.23900000000000,,Y,V,MAX,TOOL_DATA=BWCALC,257PDCPC
W4238540,187622,2025-01-27 09:43:44,-195.85100000000000,,Y,V,MIN,TOOL_DATA=BWCALC,257PDCPC
W4238540,187622,2025-01-27 10:33:18,-148.31940000000000,,Y,V,X-BAR,ALL MEASUREMENTS,257PDCPC
W4238540,187622,2025-01-27 10:33:18,-104.86400000000000,,Y,V,MAX,ALL MEASUREMENTS,257PDCPC
W4238540,187622,2025-01-27 10:33:18,-181.91300000000000,,Y,V,MIN,ALL MEASUREMENTS,257PDCPC
W4238540,187622,2025-01-27 10:33:18,-148.31940000000000,,Y,V,X-BAR,TOOL_DATA=BWCALC,257PDCPC
W4238540,187622,2025-01-27 10:33:18,-104.86400000000000,,Y,V,MAX,TOOL_DATA=BWCALC,257PDCPC
W4238540,187622,2025-01-27 10:33:18,-181.91300000000000,,Y,V,MIN,TOOL_DATA=BWCALC,257PDCPC
W4238540,187622,2025-01-27 10:33:18,-148.31940000000000,,Y,V,X-BAR,TOOL_DATA=BWCALC,257PDCPC
W4238540,187622,2025-01-27 10:33:18,-104.86400000000000,,Y,V,MAX,TOOL_DATA=BWCALC,257PDCPC
W4238540,187622,2025-01-27 10:33:18,-181.91300000000000,,Y,V,MIN,TOOL_DATA=BWCALC,257PDCPC
W4499600,187622,2025-01-28 00:39:15,-129.12415920000000,,Y,V,X-BAR,TOOL_DATA=BOW,257CPROBOW
W4499600,187622,2025-01-28 00:39:15,-156.34550000000000,,Y,V,MIN,TOOL_DATA=BOW,257CPROBOW
W4499600,187622,2025-01-28 00:39:15,-156.34550000000000,,Y,V,MIN,TOOL_DATA=BOW,257CPROBOW
W4499600,187622,2025-01-28 00:39:15,-129.12415920000000,,Y,V,X-BAR,ALL MEASUREMENTS,257CPROBOW
W4499600,187622,2025-01-28 00:39:15,-96.64570000000000,,Y,V,MAX,TOOL_DATA=BOW,257CPROBOW
W4499600,187622,2025-01-28 00:39:15,-129.12415920000000,,Y,V,X-BAR,TOOL_DATA=BOW,257CPROBOW
W4499600,187622,2025-01-28 00:39:15,-96.64570000000000,,Y,V,MAX,TOOL_DATA=BOW,257CPROBOW
W4499600,187622,2025-01-28 00:39:17,-160.57100000000000,,Y,V,MIN,ALL MEASUREMENTS,257PDCPC
W4499600,187622,2025-01-28 00:39:17,-132.79452000000000,,Y,V,X-BAR,TOOL_DATA=BWCALC,257PDCPC
W4499600,187622,2025-01-28 00:39:17,-132.79452000000000,,Y,V,X-BAR,ALL MEASUREMENTS,257PDCPC
W4499600,187622,2025-01-28 00:39:17,-100.36500000000000,,Y,V,MAX,ALL MEASUREMENTS,257PDCPC
W4499600,187622,2025-01-28 00:39:17,-100.36500000000000,,Y,V,MAX,TOOL_DATA=BWCALC,257PDCPC
W4499600,187622,2025-01-28 00:39:17,-160.57100000000000,,Y,V,MIN,TOOL_DATA=BWCALC,257PDCPC
W4499600,187622,2025-01-28 00:39:17,-132.79452000000000,,Y,V,X-BAR,TOOL_DATA=BWCALC,257PDCPC
W4499600,187622,2025-01-28 00:39:17,-100.36500000000000,,Y,V,MAX,TOOL_DATA=BWCALC,257PDCPC
W4499600,187622,2025-01-28 00:39:17,-160.57100000000000,,Y,V,MIN,TOOL_DATA=BWCALC,257PDCPC
W4499600,187622,2025-01-28 01:24:55,-155.82100000000000,,Y,V,MIN,ALL MEASUREMENTS,257PDCPC
W4499600,187622,2025-01-28 01:24:55,-133.26352000000000,,Y,V,X-BAR,TOOL_DATA=BWCALC,257PDCPC
W4499600,187622,2025-01-28 01:24:55,-133.26352000000000,,Y,V,X-BAR,ALL MEASUREMENTS,257PDCPC
W4499600,187622,2025-01-28 01:24:55,-102.75500000000000,,Y,V,MAX,ALL MEASUREMENTS,257PDCPC
W4499600,187622,2025-01-28 01:24:55,-102.75500000000000,,Y,V,MAX,TOOL_DATA=BWCALC,257PDCPC
W4499600,187622,2025-01-28 01:24:55,-155.82100000000000,,Y,V,MIN,TOOL_DATA=BWCALC,257PDCPC
W4499600,187622,2025-01-28 01:24:55,-133.26352000000000,,Y,V,X-BAR,TOOL_DATA=BWCALC,257PDCPC
