LOT,WAFER_ID,ENTITY,SLOT,CHAMBER,STATE,START_DATE,END_DATE,LOT_RECIPE,OPN
W5052010,GN8UN702SEA5,SDJ591,8,CADH424,Completed,2025-02-19 03:53:41,2025-02-19 03:54:27,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN702SEA5,SDJ591,8,CGCH611,Completed,2025-02-19 04:49:32,2025-02-19 04:51:36,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN702SEA5,SDJ591,8,COT61,Completed,2025-02-19 04:48:15,2025-02-19 04:49:25,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN702SEA5,SDJ591,8,CPHP321,Completed,2025-02-19 04:53:53,2025-02-19 04:55:22,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN703SEE7,SDJ591,7,CADH425,Completed,2025-02-19 03:54:00,2025-02-19 03:54:45,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN703SEE7,SDJ591,7,CGCH612,Completed,2025-02-19 04:50:01,2025-02-19 04:52:06,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN703SEE7,SDJ591,7,COT63,Completed,2025-02-19 04:48:44,2025-02-19 04:49:55,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN703SEE7,SDJ591,7,CPHP322,Completed,2025-02-19 04:54:18,2025-02-19 04:55:47,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN704SEB6,SDJ591,12,CADH434,Completed,2025-02-19 03:54:39,2025-02-19 03:55:24,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN704SEB6,SDJ591,12,CGCH613,Completed,2025-02-19 04:50:13,2025-02-19 04:52:18,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN704SEB6,SDJ591,12,COT62,Completed,2025-02-19 04:48:53,2025-02-19 04:50:04,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN704SEB6,SDJ591,12,CPHP311,Completed,2025-02-19 04:54:40,2025-02-19 04:56:09,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN705SEG0,SDJ591,13,CADH435,Completed,2025-02-19 03:55:24,2025-02-19 03:56:09,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN705SEG0,SDJ591,13,CGCH611,Completed,2025-02-19 04:51:38,2025-02-19 04:53:42,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN705SEG0,SDJ591,13,COT64,Completed,2025-02-19 04:49:12,2025-02-19 04:50:22,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN705SEG0,SDJ591,13,CPHP312,Completed,2025-02-19 04:55:58,2025-02-19 04:57:26,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN706SEC7,SDJ591,6,CADH414,Completed,2025-02-19 03:55:33,2025-02-19 03:56:18,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
W5052010,GN8UN706SEC7,SDJ591,6,CGCH612,Completed,2025-02-19 04:52:08,2025-02-19 04:54:13,"L-8690-50KD-R +?Product/8PPMCB_400,PAD(LT=P,CLR=Y,CM=T,CHK=1,LHON=N,AS=PAD_MT5_S5_S5)#8PPMCBPAD0MA1,FULL0(EX=-1,FC=0.0,IL=C,NA=0.48,SO=0.60)(IR=I,IID=404)^25XT400WIP {CD=A;RG=A;RESIST=AM;LinkMode=NoLotGene}",194997
