LOT,WAFER,WAFER_ID,DEFECT@WAFER@CLASS_NCDD@NVD_FALSE@FSBSLTAB-PADCU,DEFECT@WAFER@CLASS_NCDD@OTHER_UNKNOWN@FSBSLTAB-PADCU,DEFECT@WAFER@CLASS_NCDD@PREVIOUS_LAYER@FSBSLTAB-PADCU,DEFECT@WAFER@CLASS_NCDD@UNCLASSIFIED@FSBSLTAB-PADCU,ACTUAL_LOT@DEFECT@FSBSLTAB-PADCU,DEVICE@DEFECT@FSBSLTAB-PADCU,INSPECTION_TIME@DEFECT@FSBSLTAB-PADCU,INSPECTION_TOOL@DEFECT@FSBSLTAB-PADCU,LOAD_DATE@DEFECT@FSBSLTAB-PADCU,SITE@DEFECT@FSBSLTAB-PADCU,WAFER_ID_ORDER@DEFECT@FSBSLTAB-PADCU,WAFER_KEY@DEFECT@FSBSLTAB-PADCU,ENTITY@NTSC@STEPPER@194997,CHAMBER@NTSC@-10@STEPPER@194997,CHAMBER@NTSC@-11@STEPPER@194997,CHAMBER@NTSC@-1@STEPPER@194997,CHAMBER@NTSC@-2@STEPPER@194997,CHAMBER@NTSC@-3@STEPPER@194997,CHAMBER@NTSC@-4@STEPPER@194997,CHAMBER@NTSC@-5@STEPPER@194997,CHAMBER@NTSC@-6@STEPPER@194997,CHAMBER@NTSC@-7@STEPPER@194997,CHAMBER@NTSC@-8@STEPPER@194997,CHAMBER@NTSC@-9@STEPPER@194997,ROUTE@STARTS,DEFECT@WAFER@RAW_CLASS_COUNTS@NVD_FALSE@FSBSLTAB-PADCU,DEFECT@WAFER@RAW_CLASS_COUNTS@OTHER_UNKNOWN@FSBSLTAB-PADCU,DEFECT@WAFER@RAW_CLASS_COUNTS@PREVIOUS_LAYER@FSBSLTAB-PADCU,DEFECT@WAFER@RAW_CLASS_COUNTS@UNCLASSIFIED@FSBSLTAB-PADCU,GVB
W513630,628,GF51F628MMB3,6.850689,0,0,0,W5136300,PPZCB,05/02/2025 9:56:14 AM,ORL201,08/14/2025 11:07:06 AM,F21,25,1380314,SDJ591,SDJ591_CPHP321,SDJ591_DEV33,SDJ591_TEL_ACT12,SDJ591_CADH424,SDJ591_SCPL225,SDJ591_CPL743,SDJ591_COT62,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BR,2,0,0,9046,Good
W521625,625,AJPDB625MMC5,0.019287,0.077146,0,0,W5216250,PQ1CA,06/17/2025 7:32:06 PM,ORL102,08/14/2025 9:53:50 PM,F21,3,1401270,SDJ591,SDJ591_CPHP321,SDJ591_DEV33,SDJ591_TEL_ACT12,SDJ591_CADH424,SDJ591_SCPL225,SDJ591_CPL743,SDJ591_COT62,SDJ591_CGCH613,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BE,5,20,0,97,Bad
W520364,599,CJNMB599MMF4,0.165038,0,0,0,W5203640,PUKCA,06/21/2025 9:56:52 AM,ORL101,08/14/2025 2:11:34 PM,F21,8,1408388,SDJ591,SDJ591_CPHP321,SDJ591_DEV34,SDJ591_TEL_ACT12,SDJ591_CADH415,SDJ591_SCPL224,SDJ591_CPL744,SDJ591_COT63,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK2,FL25.7P8BM,27,0,0,79,Good
W507011,670,EFBRB670MME4,0.055947,0.068857,0,0,W5070110,PMQCB,03/28/2025 12:52:48 PM,ORL203,08/14/2025 9:53:35 AM,F21,24,1356089,SDJ591,SDJ591_CPHP322,SDJ591_DEV38,SDJ591_TEL_ACT12,SDJ591_CADH435,SDJ591_SCPL225,SDJ591_CPL744,SDJ591_COT64,SDJ591_CGCH613,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK2,FL25.7P8BH,13,16,0,131,Bad
W515627,59,GP8VG059SEA7,0.112098,0,0,0,W5156270,PPKCB,05/22/2025 2:19:51 PM,ORL102,08/14/2025 10:03:02 PM,F21,8,1389400,SDJ591,SDJ591_CPHP312,SDJ591_DEV35,SDJ591_TEL_ACT12,SDJ591_CADH414,SDJ591_SCPL223,SDJ591_CPL743,SDJ591_COT61,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK2,FL25.7P8BK,25,0,0,134,Good
W516344,483,GR0ZY483SEE3,0.04512,0,0,0,W5163440,PPKCB,05/24/2025 9:06:23 AM,ORL201,08/14/2025 1:25:54 PM,F21,4,1388094,SDJ591,SDJ591_CPHP322,SDJ591_DEV31,SDJ591_TEL_ACT12,SDJ591_CADH414,SDJ591_SCPL223,SDJ591_CPL743,SDJ591_COT61,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK2,FL25.7P8BK,2,0,0,62,Good
W521625,799,AJPDB799MMG0,0.02143,0.12322,0,0,W5216250,PQ1CA,06/17/2025 7:32:06 PM,ORL102,08/14/2025 9:54:52 PM,F21,19,1404361,SDJ591,SDJ591_CPHP321,SDJ591_DEV33,SDJ591_TEL_ACT12,SDJ591_CADH414,SDJ591_SCPL223,SDJ591_CPL743,SDJ591_COT62,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BE,4,23,0,156,Bad
W513635,757,GF51F757MMC3,0.014125,0.00565,0,0,W5136350,PMQCB,05/11/2025 3:37:07 AM,ORL101,08/14/2025 4:20:17 PM,F21,24,1381820,SDJ591,SDJ591_CPHP311,SDJ591_DEV31,SDJ591_TEL_ACT12,SDJ591_CADH414,SDJ591_SCPL223,SDJ591_CPL743,SDJ591_COT61,SDJ591_CGCH613,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK2,FL25.7P8BH,5,2,0,6,Bad
W514195,677,AIRBB677TMD4,0.154394,0,0,0,W5141950,PPKCB,05/06/2025 8:01:16 PM,ORL201,08/14/2025 11:40:18 AM,F21,17,1382730,SDJ591,SDJ591_CPHP311,SDJ591_DEV31,SDJ591_TEL_ACT12,SDJ591_CADH434,SDJ591_SCPL224,SDJ591_CPL743,SDJ591_COT61,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BK,2,0,0,217,Good
W521625,634,AJPDB634MMC7,0.268538,0,0,0,W5216250,PQ1CA,06/17/2025 7:32:06 PM,ORL102,08/14/2025 9:54:52 PM,F21,11,1404355,SDJ591,SDJ591_CPHP321,SDJ591_DEV33,SDJ591_TEL_ACT12,SDJ591_CADH434,SDJ591_SCPL224,SDJ591_CPL743,SDJ591_COT62,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BE,27,0,0,145,Good
W520364,594,CJNMB594MMG3,0.15881,0,0,0,W5203640,PUKCA,06/21/2025 9:56:52 AM,ORL101,08/14/2025 2:11:29 PM,F21,4,1408403,SDJ591,SDJ591_CPHP321,SDJ591_DEV36,SDJ591_TEL_ACT12,SDJ591_CADH425,SDJ591_SCPL223,SDJ591_CPL744,SDJ591_COT63,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK2,FL25.7P8BM,27,0,0,75,Good
W521625,636,AJPDB636MME0,0.037029,0.100507,0,0,W5216250,PQ1CA,06/17/2025 7:32:06 PM,ORL102,08/14/2025 9:53:56 PM,F21,13,1404371,SDJ591,SDJ591_CPHP311,SDJ591_DEV35,SDJ591_TEL_ACT12,SDJ591_CADH414,SDJ591_SCPL223,SDJ591_CPL743,SDJ591_COT61,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BE,7,19,0,148,Bad
W516344,498,GR0ZY498SEA5,0.07473,0,0,0,W5163440,PPKCB,05/24/2025 9:06:23 AM,ORL201,08/14/2025 1:25:54 PM,F21,15,1391404,SDJ591,SDJ591_CPHP321,SDJ591_DEV34,SDJ591_TEL_ACT12,SDJ591_CADH435,SDJ591_SCPL225,SDJ591_CPL744,SDJ591_COT64,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK1,FL25.7P8BK,6,0,0,100,Good
W526445,684,EAEJI684MMB5,0.008596,0.19771,0,0,W5264450,PQ1CA,08/06/2025 7:38:40 PM,ORL201,08/14/2025 9:44:44 PM,F21,2,1417509,SDJ591,SDJ591_CPHP312,SDJ591_DEV32,SDJ591_TEL_ACT12,SDJ591_CADH415,SDJ591_SCPL224,SDJ591_CPL744,SDJ591_COT63,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK2,FL25.7P8BE,1,23,0,237,Bad
W513630,539,GF51F539MMD5,3.763034,0,0,0,W5136300,PPZCB,05/02/2025 9:56:14 AM,ORL201,08/14/2025 11:06:42 AM,F21,1,1374798,SDJ591,SDJ591_CPHP321,SDJ591_DEV33,SDJ591_TEL_ACT12,SDJ591_CADH424,SDJ591_SCPL225,SDJ591_CPL743,SDJ591_COT62,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BR,3,0,0,4967,Good
W514195,649,AIRBB649TMF7,0.12079,0.060395,0,0,W5141950,PPKCB,05/06/2025 8:01:16 PM,ORL201,08/14/2025 11:40:18 AM,F21,15,1382768,SDJ591,SDJ591_CPHP321,SDJ591_DEV37,SDJ591_TEL_ACT12,SDJ591_CADH424,SDJ591_SCPL225,SDJ591_CPL743,SDJ591_COT62,SDJ591_CGCH613,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BK,2,1,0,254,Bad
W520364,690,CJNMB690MMD2,0.207595,0.025949,0,0,W5203640,PUKCA,06/21/2025 9:56:52 AM,ORL101,08/14/2025 2:11:29 PM,F21,23,1408423,SDJ591,SDJ591_CPHP312,SDJ591_DEV33,SDJ591_TEL_ACT12,SDJ591_CADH434,SDJ591_SCPL224,SDJ591_CPL743,SDJ591_COT61,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BM,24,3,0,123,Bad
W514195,679,AIRBB679TME5,0.13912,0.06956,0,0,W5141950,PPKCB,05/06/2025 8:01:16 PM,ORL201,08/14/2025 11:40:24 AM,F21,19,1382747,SDJ591,SDJ591_CPHP321,SDJ591_DEV33,SDJ591_TEL_ACT12,SDJ591_CADH414,SDJ591_SCPL223,SDJ591_CPL743,SDJ591_COT62,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BK,2,1,0,293,Bad
W513635,703,GF51F703MMH1,0.059327,0,0,0,W5136350,PMQCB,05/11/2025 3:37:07 AM,ORL101,08/14/2025 4:20:28 PM,F21,21,1381848,SDJ591,SDJ591_CPHP312,SDJ591_DEV36,SDJ591_TEL_ACT12,SDJ591_CADH425,SDJ591_SCPL223,SDJ591_CPL744,SDJ591_COT63,SDJ591_CGCH613,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK1,FL25.7P8BH,20,0,0,19,Good
W526445,683,EAEJI683MME6,0.129895,0.194842,0,0,W5264450,PQ1CA,08/06/2025 7:38:40 PM,ORL201,08/14/2025 9:43:52 PM,F21,1,1417547,SDJ591,SDJ591_CPHP311,SDJ591_DEV31,SDJ591_TEL_ACT12,SDJ591_CADH414,SDJ591_SCPL223,SDJ591_CPL743,SDJ591_COT61,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BE,10,15,0,183,Bad
W520364,693,CJNMB693MMB2,0.164692,0.047055,0,0,W5203640,PUKCA,06/21/2025 9:56:52 AM,ORL101,08/14/2025 2:11:28 PM,F21,25,1408442,SDJ591,SDJ591_CPHP322,SDJ591_DEV37,SDJ591_TEL_ACT12,SDJ591_CADH414,SDJ591_SCPL223,SDJ591_CPL743,SDJ591_COT62,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BM,21,6,0,109,Bad
W521625,805,AJPDB805MMG5,0.01941,0.155276,0,0,W5216250,PQ1CA,06/17/2025 7:32:06 PM,ORL102,08/14/2025 9:54:57 PM,F21,25,1404387,SDJ591,SDJ591_CPHP311,SDJ591_DEV31,SDJ591_TEL_ACT12,SDJ591_CADH414,SDJ591_SCPL223,SDJ591_CPL743,SDJ591_COT61,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BE,3,24,0,194,Bad
W514195,644,AIRBB644TMG6,0.053862,0,0.080793,0,W5141950,PPKCB,05/06/2025 8:01:16 PM,ORL201,08/14/2025 11:40:24 AM,F21,10,1382727,SDJ591,SDJ591_CPHP312,SDJ591_DEV32,SDJ591_TEL_ACT12,SDJ591_CADH425,SDJ591_SCPL223,SDJ591_CPL744,SDJ591_COT63,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK2,FL25.7P8BK,2,0,3,186,Good
W526445,692,EAEJI692MMF0,0.007904,0.098806,0,0,W5264450,PQ1CA,08/06/2025 7:38:40 PM,ORL201,08/14/2025 9:43:51 PM,F21,10,1422159,SDJ591,SDJ591_CPHP312,SDJ591_DEV32,SDJ591_TEL_ACT12,SDJ591_CADH425,SDJ591_SCPL223,SDJ591_CPL744,SDJ591_COT63,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK2,FL25.7P8BE,2,25,0,108,Bad
W512591,64,A12C6064SLD3,0.02347,0.017603,0,0,W5125910,PMQCB,05/10/2025 8:15:50 PM,ORL102,08/14/2025 10:32:46 AM,F21,14,1374472,SDJ591,SDJ591_CPHP322,SDJ591_DEV35,SDJ591_TEL_ACT12,SDJ591_CADH414,SDJ591_SCPL223,SDJ591_CPL743,SDJ591_COT62,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK2,FL25.7P8BH,8,6,0,13,Bad
W526445,827,EAEJI827MMA3,0.007806,0.085868,0,0,W5264450,PQ1CA,08/06/2025 7:38:40 PM,ORL201,08/14/2025 9:43:43 PM,F21,24,1422153,SDJ591,SDJ591_DEV38,,SDJ591_TEL_ACT12,SDJ591_CADH435,SDJ591_SCPL225,SDJ591_CPL744,SDJ591_COT64,SDJ591_CGCH613,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CPHP322,FL25.7P8BE,2,22,0,36,Bad
W512591,26,A12C6026SLB2,0.00624,0,0.00156,0,W5125910,PMQCB,05/10/2025 8:15:50 PM,ORL102,08/14/2025 10:32:46 AM,F21,1,1370220,SDJ591,SDJ591_CPHP321,SDJ591_DEV33,SDJ591_TEL_ACT12,SDJ591_CADH435,SDJ591_SCPL225,SDJ591_CPL744,SDJ591_COT63,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK1,FL25.7P8BH,4,0,1,5,Good
W513630,570,GF51F570MMF4,2.216177,0,0,0,W5136300,PPZCB,05/02/2025 9:56:14 AM,ORL201,08/14/2025 11:06:23 AM,F21,7,1380364,SDJ591,SDJ591_CPHP311,SDJ591_DEV31,SDJ591_TEL_ACT12,SDJ591_CADH424,SDJ591_SCPL225,SDJ591_CPL743,SDJ591_COT61,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BR,3,0,0,2924,Good
W513635,704,GF51F704MME0,0.059721,0.020902,0,0,W5136350,PMQCB,05/11/2025 3:37:07 AM,ORL101,08/14/2025 4:20:27 PM,F21,22,1381862,SDJ591,SDJ591_CPHP321,SDJ591_DEV37,SDJ591_TEL_ACT12,SDJ591_CADH434,SDJ591_SCPL224,SDJ591_CPL743,SDJ591_COT62,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK2,FL25.7P8BH,20,7,0,26,Bad
W521625,639,AJPDB639MMC0,0.082556,0.066045,0,0,W5216250,PQ1CA,06/17/2025 7:32:06 PM,ORL102,08/14/2025 9:54:53 PM,F21,16,1404370,SDJ591,SDJ591_CPHP322,SDJ591_DEV38,SDJ591_TEL_ACT12,SDJ591_CADH425,SDJ591_SCPL223,SDJ591_CPL744,SDJ591_COT64,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK2,FL25.7P8BE,15,12,0,161,Bad
W507011,631,EFBRB631MMF4,0.391048,0.148971,0,0,W5070110,PMQCB,03/28/2025 12:52:48 PM,ORL203,08/14/2025 9:53:34 AM,F21,2,1352622,SDJ591,SDJ591_CPHP312,SDJ591_DEV32,SDJ591_TEL_ACT12,SDJ591_CADH415,SDJ591_SCPL224,SDJ591_CPL744,SDJ591_COT63,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK2,FL25.7P8BH,21,8,0,326,Bad
W513630,566,GF51F566MME3,6.037512,0,3.018756,0,W5136300,PPZCB,05/02/2025 9:56:14 AM,ORL201,08/14/2025 11:06:45 AM,F21,3,1374797,SDJ591,SDJ591_CPHP311,SDJ591_DEV35,SDJ591_TEL_ACT12,SDJ591_CADH434,SDJ591_SCPL224,SDJ591_CPL743,SDJ591_COT61,SDJ591_CGCH613,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BR,2,0,1,11958,Good
W513630,620,GF51F620MME2,2.314354,0,1.157177,0,W5136300,PPZCB,05/02/2025 9:56:14 AM,ORL201,08/14/2025 11:07:08 AM,F21,21,1380318,SDJ591,SDJ591_CPHP321,SDJ591_DEV37,SDJ591_TEL_ACT12,SDJ591_CADH434,SDJ591_SCPL224,SDJ591_CPL743,SDJ591_COT62,SDJ591_CGCH613,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BR,2,0,1,4582,Good
W514195,640,AIRBB640TME4,0.200924,0,0,0,W5141950,PPKCB,05/06/2025 8:01:16 PM,ORL201,08/14/2025 11:40:23 AM,F21,6,1382771,SDJ591,SDJ591_CPHP312,SDJ591_DEV36,SDJ591_TEL_ACT12,SDJ591_CADH435,SDJ591_SCPL225,SDJ591_CPL744,SDJ591_COT63,SDJ591_CGCH613,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK2,FL25.7P8BK,4,0,0,281,Good
W507011,669,EFBRB669MMB3,0.263269,0.100293,0,0,W5070110,PMQCB,03/28/2025 12:52:48 PM,ORL203,08/14/2025 9:53:37 AM,F21,23,1356069,SDJ591,SDJ591_CPHP321,SDJ591_DEV37,SDJ591_TEL_ACT12,SDJ591_CADH434,SDJ591_SCPL224,SDJ591_CPL743,SDJ591_COT62,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BH,21,8,0,210,Bad
W526445,760,EAEJI760MME2,0.018092,0.226155,0,0,W5264450,PQ1CA,08/06/2025 7:38:40 PM,ORL201,08/14/2025 9:43:51 PM,F21,11,1422116,SDJ591,SDJ591_CPHP321,SDJ591_DEV33,SDJ591_TEL_ACT12,SDJ591_CADH434,SDJ591_SCPL224,SDJ591_CPL743,SDJ591_COT62,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BE,2,25,0,282,Bad
W515627,72,GP8VG072SEC2,0.128522,0.022352,0,0,W5156270,PPKCB,05/22/2025 2:19:51 PM,ORL102,08/14/2025 10:02:57 PM,F21,20,1389411,SDJ591,SDJ591_CPHP312,SDJ591_DEV31,SDJ591_TEL_ACT12,SDJ591_CADH414,SDJ591_SCPL223,SDJ591_CPL743,SDJ591_COT61,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK2,FL25.7P8BK,23,4,0,187,Bad
W515627,64,GP8VG064SEG2,0.138889,0,0,0,W5156270,PPKCB,05/22/2025 2:19:51 PM,ORL102,08/14/2025 10:02:57 PM,F21,13,1389465,SDJ591,SDJ591_CPHP321,SDJ591_DEV32,SDJ591_TEL_ACT12,SDJ591_CADH435,SDJ591_SCPL225,SDJ591_CPL744,SDJ591_COT63,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK1,FL25.7P8BK,27,0,0,170,Good
W516344,489,GR0ZY489SEA3,0.059925,0,0,0,W5163440,PPKCB,05/24/2025 9:06:23 AM,ORL201,08/14/2025 1:25:55 PM,F21,8,1391351,SDJ591,SDJ591_CPHP322,SDJ591_DEV35,SDJ591_TEL_ACT12,SDJ591_CADH434,SDJ591_SCPL224,SDJ591_CPL743,SDJ591_COT61,SDJ591_CGCH613,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK2,FL25.7P8BK,14,0,0,71,Good
W526445,765,EAEJI765MMD3,0.056912,0.007114,0,0,W5264450,PQ1CA,08/06/2025 7:38:40 PM,ORL201,08/14/2025 9:43:44 PM,F21,16,1422100,SDJ591,SDJ591_CPHP322,SDJ591_DEV38,SDJ591_TEL_ACT12,SDJ591_CADH425,SDJ591_SCPL223,SDJ591_CPL744,SDJ591_COT64,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK2,FL25.7P8BE,24,3,0,54,Bad
W516344,494,GR0ZY494SEF6,0.08037,0,0,0,W5163440,PPKCB,05/24/2025 9:06:23 AM,ORL201,08/14/2025 1:25:55 PM,F21,12,1391354,SDJ591,SDJ591_CPHP322,SDJ591_DEV31,SDJ591_TEL_ACT12,SDJ591_CADH424,SDJ591_SCPL225,SDJ591_CPL743,SDJ591_COT61,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK2,FL25.7P8BK,5,0,0,109,Good
W516344,506,GR0ZY506SEC3,0.121083,0,0.040361,0,W5163440,PPKCB,05/24/2025 9:06:23 AM,ORL201,08/14/2025 1:25:54 PM,F21,22,1391405,SDJ591,SDJ591_CPHP321,SDJ591_DEV34,SDJ591_TEL_ACT12,SDJ591_CADH424,SDJ591_SCPL225,SDJ591_CPL744,SDJ591_COT63,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK1,FL25.7P8BK,3,0,1,225,Good
W515627,65,GP8VG065SED1,0.134998,0.030681,0,0,W5156270,PPKCB,05/22/2025 2:19:51 PM,ORL102,08/14/2025 10:02:58 PM,F21,14,1389468,SDJ591,SDJ591_CPHP322,SDJ591_DEV33,SDJ591_TEL_ACT12,SDJ591_CADH414,SDJ591_SCPL223,SDJ591_CPL743,SDJ591_COT62,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL711,SDJ591_CHK2,FL25.7P8BK,22,5,0,208,Bad
W507011,634,EFBRB634MMD4,0.203721,0.218273,0,0,W5070110,PMQCB,03/28/2025 12:52:48 PM,ORL203,08/14/2025 9:53:35 AM,F21,4,1353263,SDJ591,SDJ591_CPHP322,SDJ591_DEV34,SDJ591_TEL_ACT12,SDJ591_CADH425,SDJ591_SCPL223,SDJ591_CPL744,SDJ591_COT64,SDJ591_CGCH611,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK2,FL25.7P8BH,14,15,0,512,Bad
W513630,619,GF51F619MMB1,2.202735,3.671225,0,0,W5136300,PPZCB,05/02/2025 9:56:14 AM,ORL201,08/14/2025 11:06:36 AM,F21,20,1380363,SDJ591,SDJ591_CPHP312,SDJ591_DEV36,SDJ591_TEL_ACT12,SDJ591_CADH425,SDJ591_SCPL223,SDJ591_CPL744,SDJ591_COT63,SDJ591_CGCH612,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK2,FL25.7P8BR,3,5,0,7750,Bad
W526445,688,EAEJI688MMD7,0,0.116195,0,0,W5264450,PQ1CA,08/06/2025 7:38:40 PM,ORL201,08/14/2025 9:43:50 PM,F21,6,1422151,SDJ591,SDJ591_CPHP312,SDJ591_DEV36,SDJ591_TEL_ACT12,SDJ591_CADH435,SDJ591_SCPL225,SDJ591_CPL744,SDJ591_COT63,SDJ591_CGCH613,SDJ591_ISHU720,SDJ591_CPL712,SDJ591_CHK2,FL25.7P8BE,0,25,0,122,Bad
