LOT,OPN,ENTITY,QTY,LOT_ABORT_FLAG,RETICLE,LOT_ENTITY_PROCESS_DURATION,ENT_LOT_PROCESS,PRODUCT_DESCRIPTION,PRODUCT,DOTPROCESS,ROUTE,LOT_TYPE,OPER_SHORT_DESC,CURRENT_HOTLOT,LOT_RECIPE,LAST_WAFER_END_DATE,FIRST_WAFER_END_DATE,ENT_LOT_PRIORITY
W4465330,172748,OXS258,13,N,,224.96,1225.7,Matlock Bridge 22 B0,8PPZCV   B,1225.7,FL25.7P8BR_SNIP_WLP387350-1_1,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-P1-PAD,2025-01-10 02:50:55,2025-01-09 23:40:16,0
W4465330,187614,CVD271,25,N,,192.06,1225.7,Matlock Bridge 22 B0,8PPZCV   B,1225.7,FL25.7P8BR_SNIP_WLP387350-1_1,PROD,T*#5PADOX7,N,EMIB O5,2025-01-08 04:05:41,2025-01-08 01:06:13,0
W4465330,197573,OXS270,13,N,,62.90,1225.7,Matlock Bridge 22 B0,8PPZCV   B,1225.7,FL25.7P8BR_SNIP_WLP387350-1_1,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P2-EMIB2-CP88,2025-01-09 20:17:07,2025-01-09 19:47:46,0
W4465330,234511,CVD410,25,N,,109.38,1225.7,Matlock Bridge 22 B0,8PPZCV   B,1225.7,FL25.7P8BR_SNIP_WLP387350-1_1,PROD,T*#5TV1OXE,N,EMIB O9,2025-01-06 10:29:09,2025-01-06 08:48:01,0
W4465330A,172748,OXS274,12,N,,113.26,1225.7,Matlock Bridge 22 B0,8PPZCV   B,1225.7,FL25.7P8BR_SNIP_WLP284029-2_0,PROD,E*#5PDOX5,N,SYSTEM/LPC/P-DC-PAD,2025-01-10 00:15:47,2025-01-09 22:52:10,0
W4465330A,197573,OXS266,12,N,,60.40,1225.7,Matlock Bridge 22 B0,8PPZCV   B,1225.7,FL25.7P8BR_SNIP_WLP284029-2_0,PROD,E*#5PDCAP7,N,SYSTEM/LPC/E-P1-EMIB2-CP88,2025-01-09 20:13:52,2025-01-09 19:46:54,0
W4469000,172748,OXS265,13,N,,220.43,1225.7,EMIB 1.7 Test Chip C2,3XGNZV B C,1225.7,FL25.70AZW,TD,E*#5PDOX5,N,SYSTEM/LPC/P-P2-PAD,2025-01-06 13:55:04,2025-01-06 10:44:32,0
W4469000,187614,CVD283,25,N,,198.95,1225.7,EMIB 1.7 Test Chip C2,3XGNZV B C,1225.7,FL25.70AZW,TD,T*#5PADOX7,N,EMIB O5,2025-01-04 04:53:24,2025-01-04 01:47:20,0
W4469000,197573,OXS266,13,N,,62.66,1225.7,EMIB 1.7 Test Chip C2,3XGNZV B C,1225.7,FL25.70AZW,TD,E*#5PDCAP7,N,SYSTEM/LPC/E-P1-EMIB2-CP88,2025-01-06 05:32:22,2025-01-06 05:03:01,0
W4469000,234511,CVD271,25,N,,105.62,1225.7,EMIB 1.7 Test Chip C2,3XGNZV B C,1225.7,FL25.70AZW,TD,T*#5TV1OXE,N,EMIB O9,2025-01-04 00:13:29,2025-01-03 22:36:05,0
